"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"22734","Rural","NA","Pichincha","Sierra","999","3","May-14","Casa / villa","Jefe de hogar"
"22735","Rural","NA","Pichincha","Sierra","999","4","May-14","Casa / villa","Otros miembros del hogar"
"22736","Rural","NA","Pichincha","Sierra","999","5","May-14","Casa / villa","NA"
"22737","Rural","NA","Pichincha","Sierra","999","6","May-14","Casa / villa","Jefe de hogar"
"22738","Rural","NA","Pichincha","Sierra","999","7","May-14","Casa / villa","Jefe de hogar"
"22739","Rural","NA","Pichincha","Sierra","999","8","May-14","Departamento en casa o edificio","NA"
"22740","Rural","NA","Pichincha","Sierra","999","9","May-14","Casa / villa","Jefe de hogar"
"22741","Rural","NA","Pichincha","Sierra","999","10","May-14","Casa / villa","Jefe de hogar"
"22742","Rural","NA","Pichincha","Sierra","999","11","May-14","Casa / villa","NA"
"22743","Rural","NA","Pichincha","Sierra","999","12","May-14","Casa / villa","Jefe de hogar"
"22744","Rural","NA","Pichincha","Sierra","1","1","May-14","Casa / villa","Jefe de hogar"
"22745","Rural","NA","Pichincha","Sierra","1","2","May-14","Casa / villa","Jefe de hogar"
"22746","Rural","NA","Pichincha","Sierra","1","3","May-14","Departamento en casa o edificio","Jefe de hogar"
"22747","Rural","NA","Pichincha","Sierra","1","4","May-14","Departamento en casa o edificio","NA"
"22748","Rural","NA","Pichincha","Sierra","1","5","May-14","Casa / villa","Jefe de hogar"
"22749","Rural","NA","Pichincha","Sierra","1","6","May-14","Mediagua","Otros miembros del hogar"
"22750","Rural","NA","Pichincha","Sierra","1","7","May-14","Casa / villa","NA"
"22751","Rural","NA","Pichincha","Sierra","1","8","May-14","Casa / villa","Jefe de hogar"
"22752","Rural","NA","Pichincha","Sierra","1","9","May-14","Departamento en casa o edificio","NA"
"22753","Rural","NA","Pichincha","Sierra","1","10","May-14","Casa / villa","NA"
"22754","Rural","NA","Pichincha","Sierra","1","11","May-14","Casa / villa","NA"
"22755","Rural","NA","Pichincha","Sierra","1","12","May-14","Departamento en casa o edificio","Jefe de hogar"
"22756","Rural","NA","Pichincha","Sierra","999","1","Jan-14","Casa / villa","NA"
"22757","Rural","NA","Pichincha","Sierra","999","2","Jan-14","Casa / villa","NA"
"22758","Rural","NA","Pichincha","Sierra","999","3","Jan-14","Mediagua","NA"
"22759","Rural","NA","Pichincha","Sierra","999","4","Jan-14","Casa / villa","Jefe de hogar"
"22760","Rural","NA","Pichincha","Sierra","999","5","Jan-14","Cuarto en casa de inquilinato","NA"
"22761","Rural","NA","Pichincha","Sierra","999","6","Jan-14","Casa / villa","NA"
"22762","Rural","NA","Pichincha","Sierra","999","7","Jan-14","Casa / villa","Jefe(a) y cónyuge"
"22763","Rural","NA","Pichincha","Sierra","999","8","Jan-14","Casa / villa","Jefe(a) y cónyuge"
"22764","Rural","NA","Pichincha","Sierra","999","9","Jan-14","Casa / villa","NA"
"22765","Rural","NA","Pichincha","Sierra","999","10","Jan-14","Casa / villa","NA"
"22766","Rural","NA","Pichincha","Sierra","999","11","Jan-14","Casa / villa","NA"
